Network Station Meter Latitude Longitude delta_s sigma_delta_s
NOTA B927 GTSM 49.2188 -124.811302 -0.0975 0.0552
NOTA B012 GTSM 48.924625 -125.541977 -0.1164 0.0494
NOTA B928 GTSM 48.833698 -125.134499 -0.1192 0.0551
NOTA B926 GTSM 48.820202 -124.131203 -0.1081 0.0527
NOTA B010 GTSM 48.650169 -123.451332 0.0823 0.0553
NOTA B011 GTSM 48.649544 -123.448189 0.0658 0.0535
NOTA B009 GTSM 48.64867 -123.451172 -0.0401 0.0571
NOTA B004 GTSM 48.201923 -124.42701 0.0734 0.0487
NOTA B003 GTSM 48.062359 -124.140862 -0.0941 0.0529
NOTA B005 GTSM 48.059547 -123.503281 0.0356 0.0551
NOTA B006 GTSM 48.0588 -123.500801 -0.0933 0.0592
NOTA B007 GTSM 48.057575 -123.504112 0.0856 0.0551
NOTA B001 GTSM 48.043072 -123.131409 0.1393 0.0507
NOTA B943 GTSM 47.813202 -122.911301 0.0857 0.0597
NOTA B013 GTSM 47.813 -122.910797 0.0422 0.0575
NOTA B014 GTSM 47.513302 -123.8125 -0.0031 0.0509
NOTA B017 GTSM 46.995998 -123.557503 0.1394 0.0515
NOTA B941 GTSM 46.986801 -122.219002 0.0161 0.0767
NOTA B018 GTSM 46.9795 -123.020302 0.0469 0.0547
NOTA B019 GTSM 46.652699 -123.651802 0.3279 0.038
NOTA B020 GTSM 46.382702 -123.844498 0.1718 0.0374
NOTA B201 GTSM 46.303299 -122.264801 0.0284 0.0832
NOTA B203 GTSM 46.168999 -122.333664 0.1919 0.0639
NOTA B023 GTSM 46.111198 -123.078697 0.1121 0.0493
NOTA B022 GTSM 45.954609 -123.931046 0.1213 0.0311
NOTA B024 GTSM 45.637798 -123.855797 0.0906 0.0312
NOTA B026 GTSM 45.309353 -123.823051 -0.0034 0.0319
NOTA B027 GTSM 44.497334 -122.962166 0.0856 0.0277
NOTA B028 GTSM 44.493668 -122.963837 0.0895 0.0287
NOTA B030 GTSM 43.971298 -122.771698 0.1163 0.0263
NOTA B032 GTSM 43.667999 -123.392303 0.0112 0.0243
NOTA B031 GTSM 43.664299 -123.396698 0.0065 0.024
NOTA B033 GTSM 43.291698 -123.124496 0.0705 0.0258
NOTA B036 GTSM 42.505833 -123.381668 -0.1317 0.0238
NOTA B035 GTSM 42.503513 -123.383415 -0.0699 0.0218
NOTA B040 GTSM 41.830799 -122.420502 -0.0465 0.0243
NOTA B039 GTSM 41.466702 -122.484703 -0.1063 0.0245
NOTA B935 GTSM 40.478699 -123.573196 -0.1081 0.0213
NOTA B045 GTSM 40.436001 -123.996498 0.4207 0.0198
NOTA B933 GTSM 40.060001 -123.969002 0.1176 0.0281
NOTA B934 GTSM 39.844501 -123.691399 -0.0147 0.023
USGS SV SES 38.033 -122.526 -0.0285 0.0176
NOTA B057 GTSM 38.027302 -122.565498 -0.188 0.022
USGS OH SES 38.007 -122.274 0.1155 0.0267
USGS RR DIL 37.92 -122.15 0.0507 0.0246
NOTA B054 GTSM 37.860199 -122.199501 -0.0673 0.0249
USGS MH SES 37.842 -122.494 0.0655 0.0173
USGS BB SES 37.687 -122.41 0.0179 0.0172
USGS GA DIL 37.65 -122.01 0.1185 0.0198
USGS SU DIL 37.64 -121.94 0.0188 0.0229
USGS CY DIL 37.563 -122.097 -0.1381 0.0222
USGS MC DIL 37.55 -121.9 -0.0499 0.0235
USGS OX SES 37.498 -122.425 -0.1704 0.0177
NOTA B066 GTSM 36.857533 -121.592171 -0.182 0.0235
NOTA B058 GTSM 36.7995 -121.580803 -0.2416 0.0225
NOTA B067 GTSM 36.764999 -121.565498 -0.1426 0.0225
NOTA B065 GTSM 36.743668 -121.474167 -0.2586 0.0219
NOTA B916 GTSM 36.192501 -117.668503 -0.0825 0.0259
NOTA B073 GTSM 35.946701 -120.471703 0.0857 0.0204
NOTA B076 GTSM 35.9398 -120.424797 0.0224 0.0244
NOTA B918 GTSM 35.935699 -117.6017 -0.0859 0.0272
NOTA B075 GTSM 35.929199 -120.515297 -0.0853 0.0237
NOTA B078 GTSM 35.8377 -120.3452 -0.1137 0.0266
NOTA B072 GTSM 35.831001 -120.345001 -0.0523 0.0274
NOTA B079 GTSM 35.715698 -120.205704 -0.1128 0.0272
NOTA B901 GTSM 35.689701 -120.141998 0.0859 0.0222
NOTA B900 GTSM 35.686001 -120.002998 0.0582 0.0283
NOTA B921 GTSM 35.586498 -117.462196 -0.0799 0.0391
NOTA B917 GTSM 35.4053 -117.258797 -0.0776 0.0251
NOTA B081 GTSM 33.711166 -116.714165 -0.026 0.0249
NOTA B084 GTSM 33.611568 -116.456367 -0.089 0.0251
NOTA B089 GTSM 33.599892 -116.596123 0.0199 0.0304
NOTA B082 GTSM 33.598183 -116.596008 -0.0146 0.0326
NOTA B093 GTSM 33.593689 -116.764099 -0.0133 0.0253
NOTA B086 GTSM 33.557499 -116.530998 0.0296 0.0243
NOTA B087 GTSM 33.495499 -116.602669 0.0171 0.0248
NOTA B088 GTSM 33.37495 -116.620522 -0.0278 0.026
NOTA B202 GTSM 46.244701 -122.136703 NA NA
NOTA B204 GTSM 46.136002 -122.168999 NA NA
NOTA B206 GTSM 44.717701 -110.511703 NA NA
NOTA B205 GTSM 44.713501 -110.6782 NA NA
NOTA B950 GTSM 44.712799 -110.678497 NA NA
NOTA B207 GTSM 44.618999 -110.848503 NA NA
NOTA B208 GTSM 44.5602 -110.401497 NA NA
NOTA B944 GTSM 44.389702 -110.5438 NA NA
USGS BG DIL 37.761 -118.944 NA NA
USGS CHT GTSM 37.743 -122.097 NA NA
USGS GAT GTSM 37.65 -122.01 NA NA
USGS PO DIL 37.635 -119.083 NA NA
USGS MX DIL 37.616 -118.952 NA NA
USGS SJT GTSM 36.837 -121.544 NA NA
NOTA AVN2 GTSM 36.53212 -96.081024 NA NA
USGS DLT GTSM 35.94 -120.425 NA NA
USGS DL DIL 35.94 -120.424 NA NA
USGS VC DIL 35.922 -120.535 NA NA
USGS FR DIL 35.911 -120.487 NA NA
USGS FLT GTSM 35.91 -120.49 NA NA
USGS EDT GTSM 35.89 -120.42 NA NA
USGS JC DIL 35.715 -120.206 NA NA
USGS RH DIL 35.624 -120.257 NA NA
USGS CBT GTSM 34.29 -117.84 NA NA
USGS CN DIL 34.196 -118.023 NA NA
USGS BD DIL 34.168 -117.814 NA NA
USGS PFT GTSM 33.62 -116.45 NA NA
NOTA B946 GTSM 33.5373 -116.592499 NA NA
